#NAME?;NIKKEI 225 STOCK AVERAGE - PRICE INDEX
04.02.54;357,19
05.02.54;356,75
08.02.54;362,03
09.02.54;366,36
10.02.54;367,32
11.02.54;369,38
12.02.54;368,18
15.02.54;365,66
16.02.54;366,75
17.02.54;367,09
18.02.54;366
19.02.54;362,38
22.02.54;355,35
23.02.54;352,86
24.02.54;354,09
25.02.54;355,55
26.02.54;353,21
01.03.54;349,65
02.03.54;349,03
03.03.54;351,31
04.03.54;350,46
05.03.54;349,22
08.03.54;348,9
09.03.54;347,94
10.03.54;345,16
11.03.54;340,83
12.03.54;340,17
15.03.54;338,75
16.03.54;334,32
17.03.54;329,76
18.03.54;327,82
19.03.54;319,99
22.03.54;314,08
23.03.54;320,89
24.03.54;332,44
25.03.54;332,24
26.03.54;333,76
29.03.54;329,39
30.03.54;324,18
31.03.54;322,99
01.04.54;322,69
02.04.54;317,79
05.04.54;317,62
06.04.54;316,22
07.04.54;318,25
08.04.54;323,93
09.04.54;327,85
12.04.54;326,56
13.04.54;328,16
14.04.54;327,18
15.04.54;325,91
16.04.54;327,55
19.04.54;330,13
20.04.54;335,65
21.04.54;339,3
22.04.54;343,17
23.04.54;351,53
26.04.54;347,03
27.04.54;351,67
28.04.54;351,52
29.04.54;351,52
30.04.54;345,63
03.05.54;345,63
04.05.54;344,3
05.05.54;344,3
06.05.54;338,44
07.05.54;337,91
10.05.54;333,9
11.05.54;332,78
12.05.54;331,69
13.05.54;331,18
14.05.54;327,43
17.05.54;325,37
18.05.54;323,92
19.05.54;323,99
20.05.54;325,47
21.05.54;324,84
24.05.54;320,84
25.05.54;321,06
26.05.54;321,38
27.05.54;321,83
28.05.54;321,96
31.05.54;325,82
01.06.54;326,39
02.06.54;324,69
03.06.54;325,03
04.06.54;323,68
07.06.54;322,75
08.06.54;325,41
09.06.54;324,84
10.06.54;327,49
11.06.54;327,33
14.06.54;334
15.06.54;336,88
16.06.54;344,5
17.06.54;342,82
18.06.54;343,21
21.06.54;347,88
22.06.54;343,66
23.06.54;345,13
24.06.54;345
25.06.54;342,73
28.06.54;343,42
29.06.54;343,63
30.06.54;348,09
01.07.54;352,86
02.07.54;352,26
05.07.54;352,27
06.07.54;350,52
07.07.54;349,86
08.07.54;345,38
09.07.54;345,75
12.07.54;344,34
13.07.54;343,6
14.07.54;340,35
15.07.54;340,61
16.07.54;340,22
19.07.54;341,7
20.07.54;340,51
21.07.54;337,03
22.07.54;334,02
23.07.54;332,29
26.07.54;331,03
27.07.54;331,85
28.07.54;329,47
29.07.54;330,17
30.07.54;329,22
02.08.54;330,81
03.08.54;332,35
04.08.54;331,56
05.08.54;330,83
06.08.54;329,93
09.08.54;329,44
10.08.54;334,67
11.08.54;337,61
12.08.54;340,09
13.08.54;341,12
16.08.54;343,39
17.08.54;341,98
18.08.54;342,26
19.08.54;347,39
20.08.54;347,25
23.08.54;345,3
24.08.54;345,53
25.08.54;342,28
26.08.54;339,6
27.08.54;340,85
30.08.54;339,92
31.08.54;345,02
01.09.54;351,27
02.09.54;352,73
03.09.54;352,08
06.09.54;352,62
07.09.54;350,03
08.09.54;350,29
09.09.54;351,11
10.09.54;350,99
13.09.54;347,4
14.09.54;350,19
15.09.54;354,35
16.09.54;358,67
17.09.54;355,72
20.09.54;358,7
21.09.54;357,63
22.09.54;356,7
23.09.54;356,7
24.09.54;354,91
27.09.54;347,92
28.09.54;348,21
29.09.54;349,91
30.09.54;351,33
01.10.54;350,74
04.10.54;350,85
05.10.54;348,68
06.10.54;346,23
07.10.54;347,61
08.10.54;346,91
