#NAME?;MSCI AC WORLD U$ - PRICE INDEX;MSCI EM U$ - PRICE INDEX;MSCI EUROPE U$ - PRICE INDEX;MSCI EAFE U$ - PRICE INDEX;MSCI PACIFIC U$ - PRICE INDEX;S&P 500 COMPOSITE - PRICE INDEX;FTSE 100 - PRICE INDEX;NIKKEI 225 STOCK AVERAGE - PRICE INDEX
11.06.82;;;123,682;176,855;361,736;111,24;;7195,46
14.06.82;;;121,108;174,288;361,736;109,96;;7242,58
15.06.82;;;120,734;172,964;361,736;109,96;;7191,02
16.06.82;;;119,403;171,485;361,736;108,87;;7142,39
17.06.82;;;117,533;169,411;361,736;107,6;;7130,25
18.06.82;;;116,346;168,149;361,736;107,28;;7127,7
21.06.82;;;114,231;165,013;361,736;107,2;;7091,11
22.06.82;;;115,846;167,338;361,736;108,3;;7127,96
23.06.82;;;114,635;166,3;361,736;110,14;;7154,63
24.06.82;;;115,455;167,442;361,736;109,83;;7152,58
25.06.82;;;113,776;165,677;361,736;109,14;;7202,45
28.06.82;;;113,217;164,711;361,736;110,26;;7204,19
29.06.82;;;114,527;165,703;361,736;110,21;;7180,7
30.06.82;;;115,835;167,972;335,695;109,61;;7213,87
01.07.82;;;114,846;166,504;335,695;108,71;;7179,38
02.07.82;;;114,186;164,802;335,695;107,65;;7084,87
05.07.82;;;114,246;164,435;335,695;107,65;;7081,1
06.07.82;;;114,02;163,535;335,695;107,29;;7019,56
07.07.82;;;112,706;161,765;335,695;107,22;;7035,11
08.07.82;;;112,514;160,612;335,695;107,53;;6961,91
09.07.82;;;113,632;162,969;335,695;108,83;;6991,56
12.07.82;;;115,383;166,592;335,695;109,57;;7146,69
13.07.82;;;114,257;164,775;335,695;109,45;;7189,01
14.07.82;;;114,119;164,206;335,695;110,44;;7155
15.07.82;;;114,285;164,601;335,695;110,47;;7197,77
16.07.82;;;114,491;164,691;335,695;111,07;;7175,89
19.07.82;;;116,853;167,705;335,695;110,73;;7237,8
20.07.82;;;117,51;167,835;335,695;111,54;;7212,5
21.07.82;;;118,743;169,212;335,695;111,42;;7210,56
22.07.82;;;118,57;169,328;335,695;111,47;;7227,37
23.07.82;;;121,396;171,804;335,695;111,17;;7220,51
26.07.82;;;121,143;171,251;335,695;110,36;;7203,94
27.07.82;;;119,803;169,508;335,695;109,43;;7198,04
28.07.82;;;119,102;168,176;335,695;107,73;;7192,59
29.07.82;;;117,72;166,106;335,695;107,72;;7145,87
30.07.82;;;117,821;165,481;320,877;107,09;;7122,08
02.08.82;;;118,887;167,131;320,877;108,98;;7208,29
03.08.82;;;120,034;167,431;320,877;107,83;;7213,41
04.08.82;;;117,789;164,637;320,877;106,14;;7166,28
05.08.82;;;116,483;163,29;320,877;105,16;;7092,67
06.08.82;;;114,342;161,235;320,877;103,71;;7068,28
09.08.82;;;112,059;157,791;320,877;103,08;;6976,17
10.08.82;;;113,732;158,938;320,877;102,84;;6928,3
11.08.82;;;112,527;156,961;320,877;102,6;;6885,21
12.08.82;;;112,45;156,071;320,877;102,42;;6880,23
13.08.82;;;112,915;157,498;320,877;103,85;;6927,69
16.08.82;;;112,753;156,453;320,877;104,09;;6939,43
17.08.82;;;113,469;156,633;320,877;109,04;;6864,56
18.08.82;;;117,567;162,891;320,877;108,53;;6990,81
19.08.82;;;116,452;162,076;320,877;109,16;;6967,78
20.08.82;;;119,576;165,006;320,877;113,02;;6968,46
23.08.82;;;119,637;166,397;320,877;116,11;;7053,49
24.08.82;;;120,591;168,032;320,877;115,34;;7088,99
25.08.82;;;121,005;169,46;320,877;117,58;;7126,6
26.08.82;;;121,998;170,607;320,877;118,55;;7153,38
27.08.82;;;120,091;168,252;320,877;117,11;;7185,1
30.08.82;;;118,475;165,487;320,877;117,66;;7118,85
31.08.82;;;118,088;165,043;318,499;119,51;;7123,38
01.09.82;;;119,448;166,81;318,499;118,25;;7152,55
02.09.82;;;120,08;167,774;318,499;120,28;;7125,91
03.09.82;;;121,925;169,948;318,499;122,68;;7175,59
06.09.82;;;121,103;169,872;318,499;122,68;;7219,33
07.09.82;;;121,732;170,476;318,499;121,37;;7209,45
08.09.82;;;120,866;169,022;318,499;122,2;;7189,49
09.09.82;;;121,748;168,848;318,499;121,97;;7124,01
10.09.82;;;119,502;166,105;318,499;120,97;;7105,03
13.09.82;;;118,084;164,418;318,499;122,24;;7073,93
14.09.82;;;119,523;165,972;318,499;123,1;;7096,3
15.09.82;;;119,508;166,204;318,499;124,29;;7096,3
16.09.82;;;119,072;165,343;318,499;123,77;;7087,9
17.09.82;;;119,425;165,696;318,499;122,55;;7062,51
20.09.82;;;119,895;166,165;318,499;122,51;;7042,63
21.09.82;;;120,293;166,155;318,499;124,88;;7040,28
22.09.82;;;122,121;168,508;318,499;123,99;;7071,1
23.09.82;;;121,329;167,353;318,499;123,81;;7071,1
24.09.82;;;121,316;166,589;318,499;123,32;;7066,04
27.09.82;;;119,759;163,817;318,499;123,62;;6975,5
28.09.82;;;120,542;163,501;318,499;123,24;;6940,51
29.09.82;;;120,791;164,619;318,499;121,63;;6979,09
30.09.82;;;120,344;163,468;306,537;120,42;;6910,73
01.10.82;;;120,544;162,773;306,537;121,97;;6849,78
04.10.82;;;118,547;160,212;306,537;121,51;;6942,22
05.10.82;;;119,144;160,41;306,537;121,98;;6932,12
06.10.82;;;120,061;161,253;306,537;126,97;;6974,35
07.10.82;;;122,596;165,227;306,537;128,8;;7114,64
08.10.82;;;122,608;169,346;306,537;131,05;;7361,57
11.10.82;;;124,934;171,373;306,537;134,47;;7361,57
12.10.82;;;126,51;173,678;306,537;134,44;;7413,25
13.10.82;;;126,167;173,196;306,537;136,71;;7411,58
14.10.82;;;126,314;172,892;306,537;134,57;;7414,8
15.10.82;;;124,678;170,797;306,537;133,57;;7373,51
18.10.82;;;126,54;172,584;306,537;136,73;;7370,2
19.10.82;;;127,307;173,195;306,537;136,58;;7371,65
20.10.82;;;126,044;171,546;306,537;139,23;;7378,04
21.10.82;;;126,475;170,377;306,537;139,06;;7319,96
22.10.82;;;126,256;170,16;306,537;138,83;;7324,04
25.10.82;;;123,433;167,039;306,537;133,32;;7304,92
26.10.82;;;122,846;165,029;306,537;134,48;;7199,61
27.10.82;;;123,219;165,811;306,537;135,28;;7269,96
28.10.82;;;121,818;164,827;306,537;133,59;;7291,47
29.10.82;;;121,412;163,652;304,283;133,71;;7259,15
01.11.82;;;122,874;165,537;304,283;135,47;;7334,64
02.11.82;;;124,336;167,731;304,283;137,49;;7395,62
03.11.82;;;124,764;168,214;304,283;142,87;;7395,62
04.11.82;;;125,443;169,578;304,283;141,86;;7515,9
05.11.82;;;123,899;168,806;304,283;142,16;;7528,96
08.11.82;;;122,076;167,413;304,283;140,44;;7551,66
09.11.82;;;122,614;168,965;304,283;143,02;;7576,4
10.11.82;;;124,971;173,364;304,283;141,16;;7688,18
11.11.82;;;123,635;172,112;304,283;141,76;;7708,32
12.11.82;;;123,664;171,655;304,283;139,53;;7689,41
15.11.82;;;122,629;171,369;304,283;137,03;;7762,23
16.11.82;;;121,672;171,049;304,283;135,42;;7698,3
17.11.82;;;122,387;172,323;304,283;137,93;;7740,1
18.11.82;;;122,456;172,537;304,283;138,34;;7785,43
